Group,ID,List,Target,ACC,RT,logRT,Critical_Filler,Word_Nonword,Relation_type,Branching
L1,L1_01,A,adsurdly,0,672,6.5103,Filler,Nonword,Unrelated,NA
L1,L1_01,A,veclaration,1,588,6.3767,Filler,Nonword,Unrelated,NA
L1,L1_01,A,reattachable,1,694,6.5425,Critical,Word,Constituent,Left
L1,L1_01,A,resellable,1,635,6.4536,Critical,Word,Constituent,Left
L1,L1_01,A,unresentful,1,689,6.5352,Critical,Word,Unrelated,Right
L1,L1_01,A,unbreakable,1,538,6.2879,Critical,Word,Constituent,Right
L1,L1_01,A,pevelopment,1,716,6.5737,Filler,Nonword,Phonological,NA
L1,L1_01,A,letirement,1,629,6.4441,Filler,Nonword,Unrelated,NA
L1,L1_01,A,lengthwise,0,507,6.2285,Filler,Nonword,Phonological,NA
L1,L1_01,A,matherhood,1,612,6.4167,Filler,Nonword,Phonological,NA
L1,L1_01,A,iddustrious,1,733,6.5971,Filler,Nonword,Unrelated,NA
L1,L1_01,A,darenthood,1,584,6.3699,Filler,Nonword,Phonological,NA
L1,L1_01,A,botherhood,1,733,6.5971,Filler,Nonword,Phonological,NA
L1,L1_01,A,reclosable,1,677,6.5177,Critical,Word,NonConstituent,Left
L1,L1_01,A,rationalist,1,672,6.5103,Filler,Word,Phonological,NA
L1,L1_01,A,uncleverness,1,872,6.7708,Critical,Word,NonConstituent,Left
L1,L1_01,A,reusable,1,581,6.3648,Critical,Word,NonConstituent,Left
L1,L1_01,A,tonfinement,1,566,6.3386,Filler,Nonword,Phonological,NA
L1,L1_01,A,danufacturer,1,456,6.1225,Filler,Nonword,Unrelated,NA
L1,L1_01,A,rehydratable,1,548,6.3063,Critical,Word,Constituent,Left
L1,L1_01,A,intentional,1,578,6.3596,Filler,Word,Semantic,NA
L1,L1_01,A,innovakive,1,489,6.1924,Filler,Nonword,Unrelated,NA
L1,L1_02,B,ahvertiser,1,815,6.7032,Filler,Nonword,Phonological,NA
L1,L1_02,B,literary,1,702,6.5539,Filler,Word,Phonological,NA
L1,L1_02,B,unreadable,1,1015,6.9226,Critical,Word,Unrelated,Right
L1,L1_02,B,stewirdship,1,720,6.5793,Filler,Nonword,Unrelated,NA
L1,L1_02,B,bejection,1,834,6.7262,Filler,Nonword,Unrelated,NA
L1,L1_02,B,tublicize,1,591,6.3818,Filler,Nonword,Phonological,NA
L1,L1_02,B,frosperous,1,594,6.3869,Filler,Nonword,Phonological,NA
L1,L1_02,B,haturalism,1,667,6.5028,Filler,Nonword,Unrelated,NA
L1,L1_02,B,matherhood,1,734,6.5985,Filler,Nonword,Phonological,NA
L1,L1_02,B,department,1,808,6.6946,Filler,Word,Phonological,NA
L1,L1_02,B,unwariness,0,678,6.5191,Critical,Word,Unrelated,Left
L1,L1_02,B,darenthood,1,728,6.5903,Filler,Nonword,Phonological,NA
L1,L1_02,B,supplement,1,999,6.9068,Filler,Word,Phonological,NA
L1,L1_02,B,capotalist,1,589,6.3784,Filler,Nonword,Unrelated,NA
L1,L1_02,B,rospitalize,1,1066,6.9717,Filler,Nonword,Unrelated,NA
L1,L1_02,B,undeniable,1,915,6.8189,Critical,Word,Unrelated,Right
L1,L1_02,B,gresidential,1,558,6.3244,Filler,Nonword,Unrelated,NA
L1,L1_02,B,readjustable,0,957,6.8638,Critical,Word,Constituent,Left
L1,L1_02,B,unsharpness,1,705,6.5582,Critical,Word,NonConstituent,Left
L1,L1_02,B,embarrassment,1,660,6.4922,Filler,Word,Semantic,NA
L1,L1_02,B,entertainer,1,935,6.8405,Filler,Word,Phonological,NA
L1,L1_02,B,lengthwise,0,636,6.4552,Filler,Nonword,Phonological,NA
L1,L1_02,B,intentional,1,692,6.5396,Filler,Word,Semantic,NA
L1,L1_02,B,termination,1,635,6.4536,Filler,Word,Semantic,NA
L1,L1_02,B,botherhood,0,577,6.3578,Filler,Nonword,Phonological,NA
L1,L1_02,B,journelist,1,1263,7.1412,Filler,Nonword,Unrelated,NA
L1,L1_02,B,rumiliation,0,1220,7.1066,Filler,Nonword,Unrelated,NA
L1,L1_02,B,megardless,1,791,6.6733,Filler,Nonword,Phonological,NA
L1,L1_02,B,innovakive,1,964,6.8711,Filler,Nonword,Unrelated,NA
L1,L1_02,B,uneventful,1,731,6.5944,Critical,Word,Unrelated,Right
L1,L1_02,B,banoshment,1,674,6.5132,Filler,Nonword,Phonological,NA
L1,L1_02,B,hospitality,1,732,6.5958,Filler,Word,Phonological,NA
L1,L1_02,B,difficalty,1,796,6.6796,Filler,Nonword,Unrelated,NA
L1,L1_02,B,emuivalence,1,692,6.5396,Filler,Nonword,Unrelated,NA
L1,L1_02,B,ungraceful,1,667,6.5028,Critical,Word,Constituent,Right
L1,L1_02,B,accentuation,0,724,6.5848,Filler,Word,Semantic,NA
L1,L1_02,B,impediment,1,665,6.4998,Filler,Word,Semantic,NA
L1,L1_02,B,property,1,570,6.3456,Filler,Word,Phonological,NA
L1,L1_02,B,unthankful,1,602,6.4003,Critical,Word,Unrelated,Right
L1,L1_02,B,rehydratable,0,1107,7.0094,Critical,Word,NonConstituent,Left
L1,L1_02,B,ocservatory,1,649,6.4754,Filler,Nonword,Phonological,NA
L1,L1_02,B,teasurement,1,647,6.4723,Filler,Nonword,Phonological,NA
L1,L1_02,B,megulation,1,656,6.4862,Filler,Nonword,Phonological,NA
L1,L1_02,B,crofessional,1,556,6.3208,Filler,Nonword,Unrelated,NA
L1,L1_02,B,unmovable,1,767,6.6425,Critical,Word,Constituent,Right
L1,L1_02,B,tegislature,1,638,6.4583,Filler,Nonword,Unrelated,NA
L1,L1_02,B,pevelopment,1,571,6.3474,Filler,Nonword,Phonological,NA
L1,L1_02,B,resealable,1,871,6.7696,Critical,Word,Constituent,Left
L1,L1_02,B,danufacturer,1,552,6.3135,Filler,Nonword,Unrelated,NA
L1,L1_02,B,rationalist,1,683,6.5265,Filler,Word,Phonological,NA
L1,L1_02,B,bictimize,1,504,6.2226,Filler,Nonword,Phonological,NA
L1,L1_02,B,elastecity,0,888,6.7890,Filler,Nonword,Phonological,NA
L1,L1_02,B,unawareness,1,544,6.2989,Critical,Word,Constituent,Left
L1,L1_02,B,cegression,1,560,6.3279,Filler,Nonword,Phonological,NA
L1,L1_02,B,candidacy,1,959,6.8659,Filler,Word,Phonological,NA
L1,L1_02,B,unripeness,1,774,6.6516,Critical,Word,Constituent,Left
L1,L1_02,B,resellable,1,1592,7.3727,Critical,Word,NonConstituent,Left
