Group,ID,List,Target,ACC,RT,logRT,Critical_Filler,Word_Nonword,Relation_type,Branching
L1,L1_18,F,difficalty,1,861,6.7581,Filler,Nonword,Unrelated,NA
L1,L1_18,F,cegression,1,688,6.5338,Filler,Nonword,Phonological,NA
L1,L1_18,F,bictimize,1,600,6.3969,Filler,Nonword,Phonological,NA
L1,L1_19,A,unsharpness,1,1565,7.3556,Critical,Word,Constituent,Left
L1,L1_19,A,nistributor,1,843,6.7370,Filler,Nonword,Unrelated,NA
L1,L1_19,A,categerize,1,1185,7.0775,Filler,Nonword,Phonological,NA
L1,L1_19,A,gategorical,1,895,6.7968,Filler,Nonword,Unrelated,NA
L1,L1_19,A,journelist,1,1296,7.1670,Filler,Nonword,Unrelated,NA
L1,L1_19,A,unholiness,1,1022,6.9295,Critical,Word,Constituent,Left
L1,L1_19,A,department,1,868,6.7662,Filler,Word,Phonological,NA
L1,L1_19,A,undeniable,1,1005,6.9127,Critical,Word,Unrelated,Right
L1,L1_19,A,fisterhood,1,1084,6.9884,Filler,Nonword,Unrelated,NA
L1,L1_19,A,reclosable,1,1118,7.0193,Critical,Word,NonConstituent,Left
L1,L1_19,A,entertainer,1,747,6.6161,Filler,Word,Phonological,NA
L1,L1_19,A,hontractor,1,736,6.6012,Filler,Nonword,Phonological,NA
L1,L1_19,A,shiendship,1,956,6.8628,Filler,Nonword,Phonological,NA
L1,L1_19,A,rospitalize,1,881,6.7811,Filler,Nonword,Unrelated,NA
L1,L1_19,A,impediment,1,814,6.7020,Filler,Word,Semantic,NA
L1,L1_19,A,reattachable,1,865,6.7627,Critical,Word,Constituent,Left
L1,L1_19,A,unhappiness,1,892,6.7935,Critical,Word,Unrelated,Left
L1,L1_19,A,haturalism,1,840,6.7334,Filler,Nonword,Unrelated,NA
L1,L1_19,A,adsurdly,0,866,6.7639,Filler,Nonword,Unrelated,NA
L1,L1_19,A,recomputable,0,1441,7.2731,Critical,Word,Unrelated,Left
L1,L1_19,A,pastionless,1,1268,7.1452,Filler,Nonword,Unrelated,NA
L1,L1_19,A,reterminism,1,1044,6.9508,Filler,Nonword,Phonological,NA
L1,L1_19,A,cegression,1,856,6.7523,Filler,Nonword,Phonological,NA
L1,L1_19,A,crofessional,1,838,6.7310,Filler,Nonword,Unrelated,NA
L1,L1_19,A,innovakive,1,885,6.7856,Filler,Nonword,Unrelated,NA
L1,L1_19,A,frosperous,1,660,6.4922,Filler,Nonword,Phonological,NA
L1,L1_19,A,tranquallity,1,970,6.8773,Filler,Nonword,Unrelated,NA
L1,L1_19,A,untouchable,1,759,6.6320,Critical,Word,Constituent,Right
L1,L1_19,A,feltowship,1,812,6.6995,Filler,Nonword,Phonological,NA
L1,L1_19,A,resellable,1,897,6.7991,Critical,Word,Constituent,Left
L1,L1_19,A,letirement,1,763,6.6373,Filler,Nonword,Unrelated,NA
L1,L1_19,A,reobtainable,0,1162,7.0579,Critical,Word,NonConstituent,Left
L1,L1_19,A,tonfinement,1,610,6.4135,Filler,Nonword,Phonological,NA
L1,L1_19,A,iddustrious,1,649,6.4754,Filler,Nonword,Unrelated,NA
L1,L1_19,A,uneventful,1,878,6.7776,Critical,Word,Unrelated,Right
L1,L1_19,A,fersistent,1,779,6.6580,Filler,Nonword,Phonological,NA
L1,L1_19,A,danufacturer,1,652,6.4800,Filler,Nonword,Unrelated,NA
L1,L1_19,A,matherhood,1,879,6.7788,Filler,Nonword,Phonological,NA
L1,L1_19,A,university,1,716,6.5737,Filler,Word,Semantic,NA
L1,L1_19,A,ocservatory,1,768,6.6438,Filler,Nonword,Phonological,NA
L1,L1_19,A,rationalist,1,1031,6.9383,Filler,Word,Phonological,NA
L1,L1_19,A,unreadable,1,1044,6.9508,Critical,Word,Unrelated,Right
L1,L1_19,A,untruthful,0,998,6.9058,Critical,Word,Constituent,Right
L1,L1_19,A,gresidential,1,973,6.8804,Filler,Nonword,Unrelated,NA
L1,L1_19,A,teasurement,1,800,6.6846,Filler,Nonword,Phonological,NA
L1,L1_19,A,ahvertiser,1,763,6.6373,Filler,Nonword,Phonological,NA
L1,L1_19,A,unresentful,1,697,6.5468,Critical,Word,Unrelated,Right
L1,L1_19,A,accentuation,1,896,6.7979,Filler,Word,Semantic,NA
L1,L1_19,A,unthankful,1,619,6.4281,Critical,Word,Unrelated,Right
L1,L1_19,A,mitigation,1,976,6.8835,Filler,Word,Semantic,NA
L1,L1_19,A,difficalty,1,787,6.6682,Filler,Nonword,Unrelated,NA
L1,L1_19,A,veclaration,1,698,6.5482,Filler,Nonword,Unrelated,NA
L1,L1_19,A,literary,1,713,6.5695,Filler,Word,Phonological,NA
L1,L1_19,A,resealable,1,1052,6.9584,Critical,Word,Unrelated,Left
L1,L1_19,A,property,1,775,6.6529,Filler,Word,Phonological,NA
L1,L1_19,A,uncleverness,1,853,6.7488,Critical,Word,NonConstituent,Left
L1,L1_19,A,rumiliation,1,806,6.6921,Filler,Nonword,Unrelated,NA
L1,L1_19,A,electricity,1,763,6.6373,Filler,Word,Phonological,NA
L1,L1_19,A,unavoidable,1,1399,7.2435,Critical,Word,Unrelated,Right
L1,L1_19,A,tublicize,1,778,6.6567,Filler,Nonword,Phonological,NA
L1,L1_19,A,pevelopment,1,816,6.7044,Filler,Nonword,Phonological,NA
L1,L1_19,A,supplement,1,930,6.8352,Filler,Word,Phonological,NA
L1,L1_19,A,merformance,1,963,6.8701,Filler,Nonword,Unrelated,NA
L1,L1_19,A,capotalist,1,1039,6.9460,Filler,Nonword,Unrelated,NA
L1,L1_19,A,embarrassment,1,765,6.6399,Filler,Word,Semantic,NA
L1,L1_19,A,reusable,1,912,6.8156,Critical,Word,NonConstituent,Left
L1,L1_19,A,bictimize,1,694,6.5425,Filler,Nonword,Phonological,NA
L1,L1_19,A,darenthood,1,1169,7.0639,Filler,Nonword,Phonological,NA
L1,L1_19,A,acceleration,1,1162,7.0579,Filler,Word,Semantic,NA
L1,L1_19,A,vechanize,1,941,6.8469,Filler,Nonword,Phonological,NA
L1,L1_19,A,bederalism,1,760,6.6333,Filler,Nonword,Phonological,NA
L1,L1_19,A,ungraceful,1,993,6.9007,Critical,Word,Constituent,Right
L1,L1_19,A,bejection,1,630,6.4457,Filler,Nonword,Unrelated,NA
L1,L1_19,A,hospitality,1,720,6.5793,Filler,Word,Phonological,NA
L1,L1_19,A,megardless,1,871,6.7696,Filler,Nonword,Phonological,NA
L1,L1_19,A,candidacy,1,806,6.6921,Filler,Word,Phonological,NA
L1,L1_19,A,gepression,1,630,6.4457,Filler,Nonword,Unrelated,NA
L1,L1_19,A,emuivalence,1,909,6.8123,Filler,Nonword,Unrelated,NA
L1,L1_19,A,elastecity,1,896,6.7979,Filler,Nonword,Phonological,NA
L1,L1_19,A,unripeness,0,756,6.6280,Critical,Word,Unrelated,Left
L1,L1_19,A,megulation,1,856,6.7523,Filler,Nonword,Phonological,NA
L1,L1_19,A,unawareness,1,860,6.7569,Critical,Word,Unrelated,Left
L1,L1_19,A,lengthwise,0,866,6.7639,Filler,Nonword,Phonological,NA
L1,L1_19,A,specificity,1,995,6.9027,Filler,Word,Semantic,NA
L1,L1_19,A,original,1,697,6.5468,Filler,Word,Semantic,NA
L1,L1_19,A,unmovable,0,993,6.9007,Critical,Word,Constituent,Right
L1,L1_19,A,stewirdship,1,759,6.6320,Filler,Nonword,Unrelated,NA
L1,L1_19,A,unskillful,1,714,6.5709,Critical,Word,Constituent,Right
L1,L1_19,A,unbreakable,1,624,6.4362,Critical,Word,Constituent,Right
L1,L1_19,A,botherhood,1,834,6.7262,Filler,Nonword,Phonological,NA
L1,L1_19,A,unkindness,1,631,6.4473,Critical,Word,NonConstituent,Left
L1,L1_19,A,termination,1,880,6.7799,Filler,Word,Semantic,NA
L1,L1_19,A,readjustable,1,816,6.7044,Critical,Word,Unrelated,Left
L1,L1_19,A,tegislature,1,882,6.7822,Filler,Nonword,Unrelated,NA
L1,L1_19,A,banoshment,1,900,6.8024,Filler,Nonword,Phonological,NA
L1,L1_19,A,rehydratable,0,1099,7.0022,Critical,Word,Constituent,Left
L1,L1_19,A,unclearness,1,744,6.6120,Critical,Word,Constituent,Left
L1,L1_19,A,intentional,1,971,6.8783,Filler,Word,Semantic,NA
L1,L1_19,A,unwariness,1,1076,6.9810,Critical,Word,NonConstituent,Left
L1,L1_19,A,studious,1,942,6.8480,Filler,Word,Phonological,NA
L1,L1_20,B,impediment,1,844,6.7382,Filler,Word,Semantic,NA
L1,L1_20,B,unawareness,1,620,6.4297,Critical,Word,Constituent,Left
L1,L1_20,B,capotalist,1,883,6.7833,Filler,Nonword,Unrelated,NA
L1,L1_20,B,nistributor,1,607,6.4085,Filler,Nonword,Unrelated,NA
L1,L1_20,B,resellable,0,603,6.4019,Critical,Word,NonConstituent,Left
L1,L1_20,B,recomputable,1,735,6.5999,Critical,Word,Constituent,Left
L1,L1_20,B,tranquallity,1,431,6.0661,Filler,Nonword,Unrelated,NA
L1,L1_20,B,iddustrious,1,529,6.2710,Filler,Nonword,Unrelated,NA
L1,L1_20,B,pevelopment,1,514,6.2422,Filler,Nonword,Phonological,NA
L1,L1_20,B,unskillful,1,522,6.2577,Critical,Word,Constituent,Right
L1,L1_20,B,unhappiness,1,500,6.2146,Critical,Word,Constituent,Left
L1,L1_20,B,botherhood,1,701,6.5525,Filler,Nonword,Phonological,NA
L1,L1_20,B,unbreakable,1,565,6.3368,Critical,Word,Constituent,Right
L1,L1_20,B,banoshment,1,562,6.3315,Filler,Nonword,Phonological,NA
L1,L1_20,B,reusable,1,722,6.5820,Critical,Word,Unrelated,Left
L1,L1_20,B,property,1,463,6.1377,Filler,Word,Phonological,NA
L1,L1_20,B,studious,1,391,5.9687,Filler,Word,Phonological,NA
L1,L1_20,B,mitigation,0,423,6.0474,Filler,Word,Semantic,NA
L1,L1_20,B,reobtainable,1,899,6.8013,Critical,Word,Unrelated,Left
L1,L1_20,B,rationalist,1,590,6.3801,Filler,Word,Phonological,NA
L1,L1_20,B,adsurdly,0,764,6.6386,Filler,Nonword,Unrelated,NA
L1,L1_20,B,vechanize,1,564,6.3351,Filler,Nonword,Phonological,NA
L1,L1_20,B,unresentful,1,874,6.7731,Critical,Word,Unrelated,Right
L1,L1_20,B,tublicize,1,558,6.3244,Filler,Nonword,Phonological,NA
L1,L1_20,B,letirement,1,426,6.0544,Filler,Nonword,Unrelated,NA
L1,L1_20,B,darenthood,1,596,6.3902,Filler,Nonword,Phonological,NA
L1,L1_20,B,uncleverness,1,752,6.6227,Critical,Word,Unrelated,Left
L1,L1_20,B,danufacturer,1,455,6.1203,Filler,Nonword,Unrelated,NA
L1,L1_20,B,ahvertiser,1,453,6.1159,Filler,Nonword,Phonological,NA
L1,L1_20,B,gategorical,1,441,6.0890,Filler,Nonword,Unrelated,NA
L1,L1_20,B,innovakive,1,450,6.1092,Filler,Nonword,Unrelated,NA
L1,L1_20,B,supplement,1,492,6.1985,Filler,Word,Phonological,NA
L1,L1_20,B,resealable,1,520,6.2538,Critical,Word,Constituent,Left
L1,L1_20,B,elastecity,1,842,6.7358,Filler,Nonword,Phonological,NA
L1,L1_20,B,intentional,1,648,6.4739,Filler,Word,Semantic,NA
L1,L1_20,B,bederalism,1,512,6.2383,Filler,Nonword,Phonological,NA
L1,L1_20,B,fersistent,1,655,6.4846,Filler,Nonword,Phonological,NA
L1,L1_20,B,university,1,597,6.3919,Filler,Word,Semantic,NA
L1,L1_20,B,unreadable,1,914,6.8178,Critical,Word,Unrelated,Right
L1,L1_20,B,teasurement,1,526,6.2653,Filler,Nonword,Phonological,NA
L1,L1_20,B,unkindness,1,798,6.6821,Critical,Word,Unrelated,Left
L1,L1_20,B,bejection,1,559,6.3261,Filler,Nonword,Unrelated,NA
L1,L1_20,B,journelist,1,670,6.5073,Filler,Nonword,Unrelated,NA
L1,L1_20,B,emuivalence,1,561,6.3297,Filler,Nonword,Unrelated,NA
L1,L1_20,B,megulation,1,546,6.3026,Filler,Nonword,Phonological,NA
L1,L1_20,B,unripeness,1,859,6.7558,Critical,Word,Constituent,Left
L1,L1_20,B,unwariness,1,1507,7.3179,Critical,Word,Unrelated,Left
L1,L1_20,B,unthankful,1,727,6.5889,Critical,Word,Unrelated,Right
L1,L1_20,B,reclosable,0,664,6.4983,Critical,Word,Unrelated,Left
L1,L1_20,B,rehydratable,1,1164,7.0596,Critical,Word,NonConstituent,Left
L1,L1_20,B,undeniable,1,853,6.7488,Critical,Word,Unrelated,Right
L1,L1_20,B,feltowship,1,599,6.3953,Filler,Nonword,Phonological,NA
L1,L1_20,B,electricity,1,457,6.1247,Filler,Word,Phonological,NA
L1,L1_20,B,acceleration,1,551,6.3117,Filler,Word,Semantic,NA
L1,L1_20,B,frosperous,1,539,6.2897,Filler,Nonword,Phonological,NA
L1,L1_20,B,literary,1,526,6.2653,Filler,Word,Phonological,NA
L1,L1_20,B,accentuation,1,666,6.5013,Filler,Word,Semantic,NA
L1,L1_20,B,termination,1,592,6.3835,Filler,Word,Semantic,NA
L1,L1_20,B,merformance,1,579,6.3613,Filler,Nonword,Unrelated,NA
L1,L1_20,B,untouchable,1,528,6.2691,Critical,Word,Constituent,Right
L1,L1_20,B,lengthwise,0,488,6.1903,Filler,Nonword,Phonological,NA
L1,L1_20,B,unsharpness,1,493,6.2005,Critical,Word,NonConstituent,Left
L1,L1_20,B,cegression,1,579,6.3613,Filler,Nonword,Phonological,NA
L1,L1_20,B,tegislature,1,682,6.5250,Filler,Nonword,Unrelated,NA
L1,L1_20,B,bictimize,1,500,6.2146,Filler,Nonword,Phonological,NA
L1,L1_20,B,rospitalize,0,544,6.2989,Filler,Nonword,Unrelated,NA
L1,L1_20,B,unholiness,1,1283,7.1570,Critical,Word,NonConstituent,Left
L1,L1_20,B,unclearness,1,571,6.3474,Critical,Word,NonConstituent,Left
L1,L1_20,B,unavoidable,1,676,6.5162,Critical,Word,Unrelated,Right
L1,L1_20,B,crofessional,1,539,6.2897,Filler,Nonword,Unrelated,NA
L1,L1_20,B,original,1,493,6.2005,Filler,Word,Semantic,NA
L1,L1_20,B,reattachable,1,502,6.2186,Critical,Word,NonConstituent,Left
L1,L1_20,B,untruthful,1,498,6.2106,Critical,Word,Constituent,Right
L1,L1_20,B,gepression,1,529,6.2710,Filler,Nonword,Unrelated,NA
L1,L1_20,B,ungraceful,1,612,6.4167,Critical,Word,Constituent,Right
L1,L1_20,B,shiendship,1,530,6.2729,Filler,Nonword,Phonological,NA
L1,L1_20,B,readjustable,1,509,6.2324,Critical,Word,Constituent,Left
L1,L1_20,B,department,1,573,6.3509,Filler,Word,Phonological,NA
L1,L1_20,B,hontractor,1,647,6.4723,Filler,Nonword,Phonological,NA
L1,L1_20,B,embarrassment,1,507,6.2285,Filler,Word,Semantic,NA
L1,L1_20,B,fisterhood,1,557,6.3226,Filler,Nonword,Unrelated,NA
L1,L1_20,B,veclaration,1,553,6.3154,Filler,Nonword,Unrelated,NA
L1,L1_20,B,tonfinement,1,474,6.1612,Filler,Nonword,Phonological,NA
L1,L1_20,B,matherhood,1,450,6.1092,Filler,Nonword,Phonological,NA
L1,L1_20,B,pastionless,1,432,6.0684,Filler,Nonword,Unrelated,NA
L1,L1_20,B,gresidential,1,418,6.0355,Filler,Nonword,Unrelated,NA
L1,L1_20,B,uneventful,0,419,6.0379,Critical,Word,Unrelated,Right
L1,L1_20,B,unmovable,1,615,6.4216,Critical,Word,Constituent,Right
L1,L1_20,B,difficalty,1,621,6.4313,Filler,Nonword,Unrelated,NA
L1,L1_20,B,rumiliation,1,532,6.2766,Filler,Nonword,Unrelated,NA
L1,L1_20,B,entertainer,1,620,6.4297,Filler,Word,Phonological,NA
L1,L1_20,B,categerize,0,726,6.5876,Filler,Nonword,Phonological,NA
L1,L1_20,B,megardless,1,637,6.4568,Filler,Nonword,Phonological,NA
L1,L1_20,B,candidacy,0,917,6.8211,Filler,Word,Phonological,NA
L1,L1_20,B,reterminism,1,508,6.2305,Filler,Nonword,Phonological,NA
L1,L1_20,B,stewirdship,1,568,6.3421,Filler,Nonword,Unrelated,NA
L1,L1_20,B,hospitality,1,548,6.3063,Filler,Word,Phonological,NA
L1,L1_20,B,ocservatory,1,577,6.3578,Filler,Nonword,Phonological,NA
L1,L1_20,B,specificity,1,588,6.3767,Filler,Word,Semantic,NA
L1,L1_20,B,haturalism,1,550,6.3099,Filler,Nonword,Unrelated,NA
L1,L1_21,C,tranquallity,0,739,6.6053,Filler,Nonword,Unrelated,NA
L1,L1_21,C,supplement,1,725,6.5862,Filler,Word,Phonological,NA
L1,L1_21,C,studious,1,667,6.5028,Filler,Word,Phonological,NA
L1,L1_21,C,intentional,1,731,6.5944,Filler,Word,Semantic,NA
L1,L1_21,C,unhappiness,1,749,6.6187,Critical,Word,NonConstituent,Left
L1,L1_21,C,unripeness,0,1211,7.0992,Critical,Word,NonConstituent,Left
L1,L1_21,C,termination,1,840,6.7334,Filler,Word,Semantic,NA
L1,L1_21,C,embarrassment,1,884,6.7845,Filler,Word,Semantic,NA
L1,L1_21,C,unreadable,0,919,6.8233,Critical,Word,Unrelated,Right
L1,L1_21,C,tublicize,1,962,6.8690,Filler,Nonword,Phonological,NA
L1,L1_21,C,original,1,415,6.0283,Filler,Word,Semantic,NA
L1,L1_21,C,unclearness,0,816,6.7044,Critical,Word,Unrelated,Left
L1,L1_21,C,journelist,1,1016,6.9236,Filler,Nonword,Unrelated,NA
L1,L1_21,C,ocservatory,1,1226,7.1115,Filler,Nonword,Phonological,NA
L1,L1_21,C,readjustable,1,965,6.8721,Critical,Word,NonConstituent,Left
L1,L1_21,C,uncleverness,1,1044,6.9508,Critical,Word,Constituent,Left
L1,L1_21,C,undeniable,0,740,6.6067,Critical,Word,Unrelated,Right
L1,L1_21,C,hontractor,1,744,6.6120,Filler,Nonword,Phonological,NA
L1,L1_21,C,unwariness,1,945,6.8512,Critical,Word,Constituent,Left
L1,L1_21,C,electricity,1,940,6.8459,Filler,Word,Phonological,NA
L1,L1_21,C,unkindness,1,660,6.4922,Critical,Word,Constituent,Left
L1,L1_21,C,tonfinement,1,708,6.5624,Filler,Nonword,Phonological,NA
L1,L1_21,C,unholiness,1,872,6.7708,Critical,Word,Unrelated,Left
L1,L1_21,C,stewirdship,1,644,6.4677,Filler,Nonword,Unrelated,NA
L1,L1_21,C,frosperous,1,608,6.4102,Filler,Nonword,Phonological,NA
L1,L1_21,C,unmovable,1,592,6.3835,Critical,Word,Constituent,Right
L1,L1_21,C,gepression,1,598,6.3936,Filler,Nonword,Unrelated,NA
L1,L1_21,C,ahvertiser,1,718,6.5765,Filler,Nonword,Phonological,NA
L1,L1_21,C,untruthful,1,723,6.5834,Critical,Word,Constituent,Right
L1,L1_21,C,elastecity,0,998,6.9058,Filler,Nonword,Phonological,NA
L1,L1_21,C,categerize,1,1116,7.0175,Filler,Nonword,Phonological,NA
L1,L1_21,C,untouchable,1,676,6.5162,Critical,Word,Constituent,Right
L1,L1_21,C,innovakive,1,644,6.4677,Filler,Nonword,Unrelated,NA
L1,L1_21,C,fersistent,1,805,6.6908,Filler,Nonword,Phonological,NA
L1,L1_21,C,recomputable,1,1024,6.9315,Critical,Word,NonConstituent,Left
L1,L1_21,C,capotalist,1,695,6.5439,Filler,Nonword,Unrelated,NA
L1,L1_21,C,property,1,599,6.3953,Filler,Word,Phonological,NA
L1,L1_21,C,fisterhood,1,867,6.7650,Filler,Nonword,Unrelated,NA
L1,L1_21,C,hospitality,1,640,6.4615,Filler,Word,Phonological,NA
L1,L1_21,C,bejection,1,633,6.4505,Filler,Nonword,Unrelated,NA
L1,L1_21,C,impediment,1,689,6.5352,Filler,Word,Semantic,NA
L1,L1_21,C,nistributor,1,666,6.5013,Filler,Nonword,Unrelated,NA
L1,L1_21,C,acceleration,1,637,6.4568,Filler,Word,Semantic,NA
L1,L1_21,C,candidacy,0,1203,7.0926,Filler,Word,Phonological,NA
L1,L1_21,C,rumiliation,0,1297,7.1678,Filler,Nonword,Unrelated,NA
L1,L1_21,C,reusable,1,865,6.7627,Critical,Word,Constituent,Left
L1,L1_21,C,darenthood,1,800,6.6846,Filler,Nonword,Phonological,NA
L1,L1_21,C,rospitalize,1,900,6.8024,Filler,Nonword,Unrelated,NA
L1,L1_21,C,vechanize,1,676,6.5162,Filler,Nonword,Phonological,NA
L1,L1_21,C,matherhood,1,868,6.7662,Filler,Nonword,Phonological,NA
L1,L1_21,C,botherhood,0,759,6.6320,Filler,Nonword,Phonological,NA
L1,L1_21,C,accentuation,1,1062,6.9679,Filler,Word,Semantic,NA
L1,L1_21,C,rationalist,1,914,6.8178,Filler,Word,Phonological,NA
L1,L1_21,C,reterminism,1,800,6.6846,Filler,Nonword,Phonological,NA
L1,L1_21,C,unresentful,0,1238,7.1213,Critical,Word,Unrelated,Right
L1,L1_21,C,gresidential,1,710,6.5653,Filler,Nonword,Unrelated,NA
L1,L1_21,C,emuivalence,1,809,6.6958,Filler,Nonword,Unrelated,NA
L1,L1_21,C,department,1,610,6.4135,Filler,Word,Phonological,NA
L1,L1_21,C,resealable,1,888,6.7890,Critical,Word,NonConstituent,Left
L1,L1_21,C,literary,1,729,6.5917,Filler,Word,Phonological,NA
L1,L1_21,C,haturalism,1,652,6.4800,Filler,Nonword,Unrelated,NA
L1,L1_21,C,reclosable,1,974,6.8814,Critical,Word,Constituent,Left
L1,L1_21,C,university,1,632,6.4489,Filler,Word,Semantic,NA
L1,L1_21,C,tegislature,1,686,6.5309,Filler,Nonword,Unrelated,NA
L1,L1_21,C,gategorical,1,799,6.6834,Filler,Nonword,Unrelated,NA
L1,L1_21,C,letirement,1,994,6.9017,Filler,Nonword,Unrelated,NA
L1,L1_21,C,uneventful,1,682,6.5250,Critical,Word,Unrelated,Right
L1,L1_21,C,pevelopment,1,739,6.6053,Filler,Nonword,Phonological,NA
L1,L1_21,C,unthankful,1,745,6.6134,Critical,Word,Unrelated,Right
L1,L1_21,C,iddustrious,1,570,6.3456,Filler,Nonword,Unrelated,NA
L1,L1_21,C,feltowship,1,761,6.6346,Filler,Nonword,Phonological,NA
L1,L1_21,C,ungraceful,1,520,6.2538,Critical,Word,Constituent,Right
L1,L1_21,C,specificity,0,1107,7.0094,Filler,Word,Semantic,NA
L1,L1_21,C,reattachable,1,701,6.5525,Critical,Word,Unrelated,Left
L1,L1_21,C,lengthwise,0,589,6.3784,Filler,Nonword,Phonological,NA
L1,L1_21,C,entertainer,1,627,6.4409,Filler,Word,Phonological,NA
L1,L1_21,C,mitigation,0,583,6.3682,Filler,Word,Semantic,NA
L1,L1_21,C,banoshment,1,819,6.7081,Filler,Nonword,Phonological,NA
L1,L1_21,C,unavoidable,1,701,6.5525,Critical,Word,Unrelated,Right
L1,L1_21,C,merformance,1,662,6.4953,Filler,Nonword,Unrelated,NA
L1,L1_21,C,shiendship,1,721,6.5806,Filler,Nonword,Phonological,NA
L1,L1_21,C,unbreakable,1,422,6.0450,Critical,Word,Constituent,Right
L1,L1_21,C,unsharpness,0,839,6.7322,Critical,Word,Unrelated,Left
L1,L1_21,C,crofessional,1,808,6.6946,Filler,Nonword,Unrelated,NA
L1,L1_21,C,megardless,1,784,6.6644,Filler,Nonword,Phonological,NA
L1,L1_21,C,veclaration,1,564,6.3351,Filler,Nonword,Unrelated,NA
L1,L1_21,C,reobtainable,0,733,6.5971,Critical,Word,Constituent,Left
L1,L1_21,C,resellable,0,936,6.8416,Critical,Word,Unrelated,Left
L1,L1_21,C,pastionless,0,1488,7.3052,Filler,Nonword,Unrelated,NA
L1,L1_21,C,unawareness,1,672,6.5103,Critical,Word,NonConstituent,Left
L1,L1_21,C,rehydratable,0,1027,6.9344,Critical,Word,Unrelated,Left
L1,L1_21,C,adsurdly,1,702,6.5539,Filler,Nonword,Unrelated,NA
L1,L1_21,C,bederalism,1,612,6.4167,Filler,Nonword,Phonological,NA
L1,L1_21,C,unskillful,1,569,6.3439,Critical,Word,Constituent,Right
L1,L1_21,C,teasurement,1,716,6.5737,Filler,Nonword,Phonological,NA
L1,L1_21,C,danufacturer,1,547,6.3044,Filler,Nonword,Unrelated,NA
L1,L1_21,C,megulation,1,771,6.6477,Filler,Nonword,Phonological,NA
L1,L1_21,C,difficalty,1,815,6.7032,Filler,Nonword,Unrelated,NA
L1,L1_21,C,cegression,1,737,6.6026,Filler,Nonword,Phonological,NA
L1,L1_21,C,bictimize,1,629,6.4441,Filler,Nonword,Phonological,NA
L1,L1_22,D,difficalty,1,848,6.7429,Filler,Nonword,Unrelated,NA
L1,L1_22,D,tonfinement,1,1076,6.9810,Filler,Nonword,Phonological,NA
L1,L1_22,D,ungraceful,1,1113,7.0148,Critical,Word,Unrelated,Right
L1,L1_22,D,innovakive,1,795,6.6783,Filler,Nonword,Unrelated,NA
L1,L1_22,D,unbreakable,1,752,6.6227,Critical,Word,Unrelated,Right
L1,L1_22,D,unkindness,1,955,6.8617,Critical,Word,NonConstituent,Left
L1,L1_22,D,unreadable,1,974,6.8814,Critical,Word,Constituent,Right
L1,L1_22,D,tegislature,1,915,6.8189,Filler,Nonword,Unrelated,NA
L1,L1_22,D,reattachable,1,1034,6.9412,Critical,Word,Constituent,Left
L1,L1_22,D,feltowship,1,862,6.7593,Filler,Nonword,Phonological,NA
L1,L1_22,D,lengthwise,0,935,6.8405,Filler,Nonword,Phonological,NA
L1,L1_22,D,unripeness,1,1598,7.3765,Critical,Word,Unrelated,Left
L1,L1_22,D,readjustable,0,1748,7.4662,Critical,Word,Unrelated,Left
L1,L1_22,D,letirement,1,1187,7.0792,Filler,Nonword,Unrelated,NA
L1,L1_22,D,department,1,836,6.7286,Filler,Word,Phonological,NA
L1,L1_22,D,unthankful,1,1093,6.9967,Critical,Word,Constituent,Right
L1,L1_22,D,university,1,921,6.8255,Filler,Word,Semantic,NA
L1,L1_22,D,unhappiness,1,829,6.7202,Critical,Word,Unrelated,Left
L1,L1_22,D,fersistent,1,731,6.5944,Filler,Nonword,Phonological,NA
L1,L1_22,D,recomputable,1,1767,7.4770,Critical,Word,Unrelated,Left
L1,L1_22,D,undeniable,1,997,6.9048,Critical,Word,Constituent,Right
L1,L1_22,D,studious,1,1090,6.9939,Filler,Word,Phonological,NA
L1,L1_22,D,iddustrious,1,1044,6.9508,Filler,Nonword,Unrelated,NA
L1,L1_22,D,frosperous,1,801,6.6859,Filler,Nonword,Phonological,NA
L1,L1_22,D,rumiliation,1,963,6.8701,Filler,Nonword,Unrelated,NA
L1,L1_22,D,acceleration,1,927,6.8320,Filler,Word,Semantic,NA
L1,L1_22,D,ocservatory,1,999,6.9068,Filler,Nonword,Phonological,NA
L1,L1_22,D,unwariness,0,1338,7.1989,Critical,Word,NonConstituent,Left
L1,L1_22,D,ahvertiser,1,856,6.7523,Filler,Nonword,Phonological,NA
L1,L1_22,D,botherhood,0,988,6.8957,Filler,Nonword,Phonological,NA
L1,L1_22,D,megulation,1,904,6.8068,Filler,Nonword,Phonological,NA
L1,L1_22,D,veclaration,1,906,6.8090,Filler,Nonword,Unrelated,NA
L1,L1_22,D,hospitality,1,875,6.7742,Filler,Word,Phonological,NA
L1,L1_22,D,unresentful,1,1484,7.3025,Critical,Word,Constituent,Right
L1,L1_22,D,emuivalence,1,1424,7.2612,Filler,Nonword,Unrelated,NA
L1,L1_22,D,darenthood,1,995,6.9027,Filler,Nonword,Phonological,NA
L1,L1_22,D,bederalism,1,1143,7.0414,Filler,Nonword,Phonological,NA
L1,L1_22,D,rospitalize,1,824,6.7142,Filler,Nonword,Unrelated,NA
L1,L1_22,D,bictimize,1,853,6.7488,Filler,Nonword,Phonological,NA
L1,L1_22,D,impediment,1,1360,7.2152,Filler,Word,Semantic,NA
L1,L1_22,D,termination,1,1223,7.1091,Filler,Word,Semantic,NA
